,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Saint Anthony,US,45.0205,-93.218,15.69,82,20,1.99,few clouds
242,Kondinskoye,RU,59.6481,67.41,0.1,96,100,3.22,overcast clouds
243,Yangambi,CD,0.8102,24.4336,68.85,48,100,1.39,overcast clouds
244,Ostrogozhsk,RU,50.8664,39.0756,30.04,88,97,16.17,overcast clouds
245,Huarmey,PE,-10.0681,-78.1522,69.67,90,96,6.96,overcast clouds
246,Yelan,RU,50.949,43.7378,32.54,97,100,19.8,light snow
247,Abu Dhabi,AE,24.4667,54.3667,66.96,84,0,6.91,clear sky
248,Bucovat,RO,44.3,23.75,35.49,70,0,10.36,clear sky
249,Gwadar,PK,25.1216,62.3254,72.59,71,0,12.93,clear sky
250,Kralendijk,BQ,12.15,-68.2667,75.18,88,75,4.61,broken clouds
251,Matcha,RU,54.6335,42.3501,24.82,96,100,11.7,snow
252,Aguimes,ES,27.9054,-15.4461,55.65,67,0,3.44,clear sky
253,Baranain,ES,42.8057,-1.6773,39.15,83,75,8.05,broken clouds
254,Barahona,DO,18.2085,-71.1008,73.47,81,13,1.12,few clouds
255,Gubkinskiy,RU,64.434,76.5026,4.28,92,100,9.26,overcast clouds
256,Bonfim,BR,3.0833,-59.95,76.77,67,69,3.74,broken clouds
257,Mizan Teferi,ET,6.9833,35.5833,66.45,46,98,2.08,overcast clouds
258,Riachao Das Neves,BR,-11.7461,-44.91,67.46,97,97,0.96,overcast clouds
259,Codrington,AU,-38.2667,141.9667,74.64,68,3,11.74,clear sky
260,Noyakert,AM,39.8312,44.669,29.3,69,44,1.41,scattered clouds
261,Umm Lajj,SA,25.0213,37.2685,62.71,57,100,5.55,overcast clouds
262,Caucaia,BR,-3.7361,-38.6531,82.04,77,40,13.8,scattered clouds
263,Mazamari,PE,-11.3258,-74.5308,67.39,98,100,0.87,overcast clouds
264,Cravo Norte,CO,6.3017,-70.2041,76.82,44,10,5.26,clear sky
265,Basavakalyan,IN,17.8667,76.95,79.03,17,0,4.45,clear sky
266,Porosozero,RU,62.7191,32.727,13.96,96,100,7.52,light snow
267,Ardakan,IR,32.31,54.0175,35.98,26,13,2.8,few clouds
268,Saint-Joseph,RE,-21.3667,55.6167,81.1,80,67,13.06,light rain
269,Male,MV,4.1748,73.5089,85.95,74,40,13.8,scattered clouds
270,Puerto Madryn,AR,-42.7692,-65.0385,58.05,41,6,13.2,clear sky
271,Umm Kaddadah,SD,13.6017,26.6876,53.53,23,1,14.63,clear sky
272,Port-Gentil,GA,-0.7193,8.7815,80.65,78,97,7.23,overcast clouds
273,Laguna,US,38.421,-121.4238,53.08,80,0,0.0,clear sky
274,Marfino,RU,55.7028,37.3822,26.85,86,75,8.95,light snow
275,Arys,KZ,42.4252,68.795,32.22,63,94,4.94,overcast clouds
276,Bengkulu,ID,-3.8004,102.2655,85.32,62,94,4.5,overcast clouds
277,Uruguaiana,BR,-29.7547,-57.0883,71.53,64,0,4.61,clear sky
278,Garissa,KE,-0.4536,39.6401,76.5,73,45,6.71,scattered clouds
279,Pavlodar,KZ,52.3,76.95,13.8,85,40,8.95,scattered clouds
280,Kangaatsiaq,GL,68.3065,-53.4641,-8.16,94,79,12.17,broken clouds
281,Casablanca,MA,33.5928,-7.6192,55.42,63,61,4.85,broken clouds
282,Quatre Cocos,MU,-20.2078,57.7625,83.08,77,95,19.3,light rain
283,Nouakchott,MR,18.0858,-15.9785,69.73,42,100,12.12,overcast clouds
284,Kitui,KE,-1.367,38.0106,65.48,86,91,2.91,overcast clouds
285,Hatfield,GB,51.7634,-0.2242,45.59,77,75,18.41,broken clouds
286,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,-1.41,100,96,2.42,overcast clouds
287,North Chicago,US,42.3256,-87.8412,28.31,73,75,1.99,broken clouds
288,Ekibastuz,KZ,51.6667,75.3667,16.68,85,96,13.47,light snow
289,Diego De Almagro,CL,-26.3667,-70.05,59.18,67,0,2.01,clear sky
290,Mayahi,NE,13.9553,7.6712,57.42,19,2,14.14,clear sky
291,Jonkoping,SE,57.7814,14.1562,20.91,93,17,0.0,few clouds
292,Jauja,PE,-11.7758,-75.4966,44.4,94,99,3.13,overcast clouds
293,Bojnurd,IR,37.4747,57.329,24.75,86,0,0.0,clear sky
294,Manjacaze,MZ,-24.7117,33.8828,75.24,74,97,2.73,overcast clouds
295,Zuenoula,CI,7.4292,-6.0431,66.72,28,80,2.8,broken clouds
296,Hualmay,PE,-11.0964,-77.6139,69.69,87,100,6.53,overcast clouds
297,Kozan,TR,37.4552,35.8157,41.9,91,100,5.59,light rain
298,Necochea,AR,-38.5473,-58.7368,61.16,56,100,10.6,overcast clouds
299,Kuusamo,FI,65.9667,29.1833,-5.76,84,0,2.3,clear sky
300,Bonavista,CA,48.6499,-53.1147,36.12,74,67,26.8,broken clouds
301,Port Blair,IN,11.6667,92.75,78.84,65,40,6.91,haze
302,Birjand,IR,32.8663,59.2211,27.07,50,0,6.91,clear sky
303,Goundam,ML,16.4145,-3.6708,67.59,17,8,9.28,clear sky
304,Henties Bay,NA,-22.116,14.2845,66.85,80,78,6.64,broken clouds
305,Kozhva,RU,65.1073,57.0459,2.17,97,91,5.44,overcast clouds
306,Licata,IT,37.1071,13.9461,45.54,85,23,9.89,few clouds
307,Grenville,GD,12.1167,-61.6167,78.85,81,67,16.28,broken clouds
308,Upington,ZA,-28.4478,21.2561,73.78,78,75,1.14,broken clouds
309,Krasnomayskiy,RU,57.6194,34.4099,22.95,96,100,5.95,light snow
310,Aksu,CN,41.1231,80.2644,30.9,37,22,3.24,few clouds
311,Sao Domingos,BR,-13.3983,-46.3183,67.35,94,100,3.53,overcast clouds
312,Rio Claro,BR,-22.4114,-47.5614,68.4,96,99,4.65,light rain
313,Aragarcas,BR,-15.8975,-52.2508,70.66,97,100,1.39,overcast clouds
314,Ancud,CL,-41.8697,-73.8203,46.42,81,15,4.47,few clouds
315,Marawi,PH,7.9986,124.2928,74.64,73,100,6.26,light rain
316,Carnarvon,AU,-24.8667,113.6333,87.87,58,23,24.16,few clouds
317,Usevya,TZ,-7.1,31.2333,66.54,94,100,2.26,overcast clouds
318,Mattru,SL,7.6244,-11.8332,70.5,98,6,1.83,clear sky
319,Roald,NO,62.5833,6.1333,33.33,74,20,11.5,few clouds
320,Conde,BR,-7.2597,-34.9075,78.26,83,20,5.75,few clouds
321,Aksay,RU,47.26,39.87,35.82,92,100,11.01,overcast clouds
322,Geraldton,AU,-28.7667,114.6,86.41,48,0,21.85,clear sky
323,Nebyliv,UA,48.8153,24.2166,28.71,81,96,16.46,overcast clouds
