City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Sabha,LY,2022-01-30 19:37:45,27.0377,14.4283,48.6,44,0,8.55
132,Cap Malheureux,MU,2022-01-30 19:37:45,-19.9842,57.6142,81.09,77,98,4.0
133,Touros,BR,2022-01-30 19:37:46,-5.1989,-35.4608,86.9,71,96,13.09
134,Havelock,US,2022-01-30 19:37:46,34.8791,-76.9013,44.06,38,5,8.01
135,Praia Da Vitoria,PT,2022-01-30 19:37:46,38.7333,-27.0667,59.25,82,75,23.49
136,Narsaq,GL,2022-01-30 19:37:47,60.9167,-46.05,10.62,65,100,11.99
137,Dourbali,TD,2022-01-30 19:38:47,11.8091,15.8632,69.62,14,72,11.45
138,Tallahassee,US,2022-01-30 19:35:08,30.4383,-84.2807,61.0,38,20,1.01
139,Tshane,BW,2022-01-30 19:38:47,-24.0196,21.8684,71.15,71,100,11.83
140,Callaway,US,2022-01-30 19:38:48,30.153,-85.5699,63.18,50,0,5.01
141,Sao Filipe,CV,2022-01-30 19:38:48,14.8961,-24.4956,71.76,71,100,14.16
142,Vila Franca Do Campo,PT,2022-01-30 19:37:08,37.7167,-25.4333,58.19,78,69,15.17
143,Atar,MR,2022-01-30 19:38:49,20.5169,-13.0499,82.06,10,100,6.82
144,Quatre Cocos,MU,2022-01-30 19:38:49,-20.2078,57.7625,80.71,83,100,17.09
145,Sechura,PE,2022-01-30 19:38:50,-5.5569,-80.8222,80.85,58,67,13.73
146,Najran,SA,2022-01-30 19:38:50,17.4924,44.1277,61.45,28,17,2.39
147,Ojus,US,2022-01-30 19:34:33,25.9484,-80.1506,63.01,31,0,1.01
148,Takoradi,GH,2022-01-30 19:38:50,4.8845,-1.7554,79.86,80,95,7.31
149,Boden,SE,2022-01-30 19:38:51,65.8252,21.6886,1.4,95,11,5.21
150,Comodoro Rivadavia,AR,2022-01-30 19:38:51,-45.8667,-67.5,60.66,31,40,19.57
151,Zabid,YE,2022-01-30 19:38:51,14.1951,43.3152,76.51,64,50,8.88
152,Mizque,BO,2022-01-30 19:38:52,-17.941,-65.3402,75.7,49,57,9.04
153,Constitucion,CL,2022-01-30 19:36:52,-35.3333,-72.4167,69.12,65,9,19.82
154,Belyy Yar,RU,2022-01-30 19:38:52,53.6039,91.3903,-20.15,82,100,2.24
155,Iquique,CL,2022-01-30 19:37:05,-20.2208,-70.1431,73.44,68,1,3.27
156,Itarema,BR,2022-01-30 19:38:53,-2.9248,-39.9167,75.34,83,100,11.14
157,Torrijos,ES,2022-01-30 19:38:53,39.9819,-4.2835,53.83,33,10,1.14
158,Berja,ES,2022-01-30 19:38:53,36.8469,-2.9497,59.13,44,0,1.79
159,Los Llanos De Aridane,ES,2022-01-30 19:35:15,28.6585,-17.9182,60.55,85,8,4.0
160,Ekibastuz,KZ,2022-01-30 19:38:54,51.6667,75.3667,11.12,87,35,13.02
161,Dingle,PH,2022-01-30 19:38:04,10.9995,122.6711,74.79,93,52,3.56
162,Cockburn Town,TC,2022-01-30 19:35:54,21.4612,-71.1419,75.16,69,75,13.8
163,Tatarsk,RU,2022-01-30 19:38:54,55.219,75.9828,12.18,97,87,6.67
164,Kuloy,RU,2022-01-30 19:38:55,61.0305,42.4925,5.54,97,99,5.21
165,Jilib,SO,2022-01-30 19:38:55,0.4883,42.7854,75.25,77,56,9.98
166,Ndjole,GA,2022-01-30 19:38:55,-0.1783,10.7649,77.27,88,100,3.31
167,Ilo,PE,2022-01-30 19:38:56,-17.6394,-71.3375,71.42,67,24,7.0
168,Totma,RU,2022-01-30 19:38:56,59.9747,42.7642,1.53,100,96,3.74
169,Antalaha,MG,2022-01-30 19:34:32,-14.9003,50.2788,75.88,88,19,7.78
170,Caravelas,BR,2022-01-30 19:38:56,-17.7125,-39.2481,82.99,75,25,12.24
171,Fort-Shevchenko,KZ,2022-01-30 19:38:57,44.5086,50.263,37.33,87,72,11.61
172,Makushino,RU,2022-01-30 19:38:57,55.2103,67.2442,10.06,96,100,7.2
173,Grenaa,DK,2022-01-30 19:38:57,56.4158,10.8783,36.84,81,68,14.32
174,Santa Cruz,BO,2022-01-30 19:38:58,-17.8,-63.1667,96.26,31,40,9.22
175,Kisangani,CD,2022-01-30 19:38:58,0.5167,25.2,74.79,41,99,0.94
176,Lagoa,PT,2022-01-30 19:38:52,39.05,-27.9833,57.9,69,18,23.82
177,Vestmannaeyjar,IS,2022-01-30 19:38:58,63.4427,-20.2734,31.55,62,100,39.1
178,Veraval,IN,2022-01-30 19:38:59,20.9,70.3667,67.21,61,0,10.47
179,San Luis,AR,2022-01-30 19:38:59,-33.295,-66.3356,93.24,19,1,5.79
180,Leshukonskoye,RU,2022-01-30 19:38:59,64.8989,45.7622,9.63,95,100,6.08
181,Oeiras,BR,2022-01-30 19:39:00,-7.0253,-42.1311,87.58,51,52,3.91
182,Ventspils,LV,2022-01-30 19:40:00,57.3894,21.5606,31.93,93,100,27.63
183,Kushmurun,KZ,2022-01-30 19:40:01,52.4503,64.6311,9.39,96,53,9.91
184,Axim,GH,2022-01-30 19:40:01,4.8699,-2.2405,79.9,81,100,8.79
185,Vagur,FO,2022-01-30 19:40:02,61.4732,-6.8119,38.95,97,100,23.51
186,Nuuk,GL,2022-01-30 19:40:02,64.1835,-51.7216,12.81,79,75,10.36
187,Vityazevo,RU,2022-01-30 19:40:02,44.9931,37.2719,43.21,70,75,17.9
188,Samana,DO,2022-01-30 19:37:21,19.2056,-69.3369,86.22,70,40,11.5
189,Visnes,NO,2022-01-30 19:40:03,59.3556,5.2242,36.82,75,75,6.91
190,Bambous Virieux,MU,2022-01-30 19:39:18,-20.3428,57.7575,80.85,83,40,13.8
191,Concarneau,FR,2022-01-30 19:40:03,47.875,-3.9225,50.83,86,100,5.66
192,Briceno,CO,2022-01-30 19:40:04,7.111,-75.5515,74.35,67,96,6.15
193,Trincomalee,LK,2022-01-30 19:40:04,8.5711,81.2335,79.29,80,4,12.53
194,Vardo,NO,2022-01-30 19:40:04,70.3705,31.1107,28.38,80,75,5.75
195,Verkhovazhye,RU,2022-01-30 19:40:05,60.7472,42.0465,6.03,98,98,4.38
196,Olinda,BR,2022-01-30 19:38:26,-8.0089,-34.8553,83.93,74,40,10.36
197,Bathsheba,BB,2022-01-30 19:40:05,13.2167,-59.5167,83.01,61,40,19.57
198,Nosy Varika,MG,2022-01-30 19:40:05,-20.5833,48.5333,74.12,79,3,2.89
199,Mabaruma,GY,2022-01-30 19:40:06,8.2,-59.7833,83.05,58,30,7.83
200,Sumter,US,2022-01-30 19:40:06,28.7086,-82.0831,59.2,23,0,4.16
201,Kutum,SD,2022-01-30 19:40:06,14.2,24.6667,58.75,14,1,12.91
202,Prieta,HN,2022-01-30 19:40:07,15.5833,-86.1833,71.02,99,100,1.77
203,Saldanha,ZA,2022-01-30 19:40:07,-33.0117,17.9442,69.85,90,64,12.12
204,Olafsvik,IS,2022-01-30 19:40:08,64.8945,-23.7142,29.21,57,100,38.12
205,Rio Gallegos,AR,2022-01-30 19:39:06,-51.6226,-69.2181,57.25,33,40,34.52
206,Hermon,US,2022-01-30 19:40:08,44.8101,-68.9134,22.73,53,0,12.66
207,Muli,MV,2022-01-30 19:40:09,2.9167,73.5667,81.95,77,60,11.88
208,Yanam,IN,2022-01-30 19:40:09,16.7333,82.2167,65.35,96,2,1.83
209,Neyvo-Shaytanskiy,RU,2022-01-30 19:40:09,57.7286,61.2496,6.33,97,100,0.69
210,Kavaratti,IN,2022-01-30 19:40:10,10.5669,72.642,81.34,72,15,10.92
211,Macamic,CA,2022-01-30 19:40:10,48.7502,-78.9996,8.83,81,100,8.3
212,Rypefjord,NO,2022-01-30 19:40:10,70.6333,23.6667,30.67,69,40,9.22
213,Rioja,AR,2022-01-30 19:40:11,-29.4111,-66.8507,89.35,37,0,4.97
214,Kahama,TZ,2022-01-30 19:40:11,-3.8333,32.6,64.9,94,100,4.41
215,Nohar,IN,2022-01-30 19:40:11,29.1833,74.7667,58.96,31,0,4.97
216,Gurupa,BR,2022-01-30 19:40:12,-1.405,-51.64,77.79,95,92,1.95
217,Talara,PE,2022-01-30 19:40:12,-4.5772,-81.2719,83.16,54,0,14.97
218,Waddan,LY,2022-01-30 19:40:12,29.1614,16.139,48.25,57,7,5.55
219,Sambava,MG,2022-01-30 19:40:13,-14.2667,50.1667,78.21,86,69,12.77
220,Mao,ES,2022-01-30 19:40:13,39.8885,4.2658,50.56,81,0,8.05
221,Henties Bay,NA,2022-01-30 19:40:13,-22.116,14.2845,66.85,80,100,6.15
222,Vigia Del Fuerte,CO,2022-01-30 19:40:14,6.5789,-76.8863,83.14,65,99,5.57
223,Mehamn,NO,2022-01-30 19:40:03,71.0357,27.8492,32.18,63,79,22.41
224,Seminole,US,2022-01-30 19:40:14,28.7086,-81.2081,58.62,27,0,3.44
225,Nykoping,SE,2022-01-30 19:40:14,58.753,17.0079,34.43,65,75,3.0
226,Villazon,BO,2022-01-30 19:40:15,-22.0866,-65.5942,59.86,53,97,16.75
227,Mayumba,GA,2022-01-30 19:40:15,-3.432,10.6554,78.03,86,100,3.42
228,Estelle,US,2022-01-30 19:40:15,29.8458,-90.1067,68.05,40,0,13.8
229,Bud,US,2022-01-30 19:40:16,39.447,-86.1758,40.24,53,79,11.72
230,Shelburne,CA,2022-01-30 19:41:16,44.0787,-80.2041,21.67,67,94,8.05
231,Cartagena,CO,2022-01-30 19:36:51,10.3997,-75.5144,87.42,51,20,23.02
232,Sao Joao Da Barra,BR,2022-01-30 19:41:17,-21.6403,-41.0511,84.29,84,33,10.47
233,Tarrafal,CV,2022-01-30 19:41:17,15.2833,-23.7667,70.59,73,100,19.77
234,Pimentel,PE,2022-01-30 19:39:03,-6.8367,-79.9342,79.09,53,0,17.27
235,Bonthe,SL,2022-01-30 19:41:17,7.5264,-12.505,79.54,77,8,10.94
236,Hofn,IS,2022-01-30 19:41:18,64.2539,-15.2082,26.62,48,0,23.96
237,Cacapava Do Sul,BR,2022-01-30 19:41:18,-30.5122,-53.4914,78.64,44,77,12.19
238,Cidreira,BR,2022-01-30 19:38:45,-30.1811,-50.2056,75.99,62,0,17.25
239,Komsomolets,KZ,2022-01-30 19:41:18,53.7453,62.0708,4.12,97,33,6.46
240,Portobelo,PA,2022-01-30 19:41:19,9.55,-79.65,89.85,59,0,13.15
241,Ambilobe,MG,2022-01-30 19:41:19,-13.2,49.05,75.43,93,100,2.21
242,Novaya Zaimka,RU,2022-01-30 19:41:19,56.4857,66.9241,9.68,96,100,4.88
243,Alta,NO,2022-01-30 19:37:14,69.9689,23.2717,6.04,85,20,2.3
244,Pangnirtung,CA,2022-01-30 19:41:20,66.1451,-65.7125,-18.4,63,40,0.0
245,Marawi,PH,2022-01-30 19:41:20,7.9986,124.2928,65.64,92,9,1.41
246,Baghmara,IN,2022-01-30 19:41:20,23.795,86.2085,58.51,48,6,1.3
247,Miandrivazo,MG,2022-01-30 19:41:21,-19.5167,45.4667,80.46,78,48,5.32
248,Urdoma,RU,2022-01-30 19:41:21,61.7533,48.5442,-1.43,99,68,3.27
249,Brae,GB,2022-01-30 19:41:21,60.3964,-1.353,39.11,93,100,16.64
250,Miraflores,MX,2022-01-30 19:41:22,19.2167,-98.8083,68.65,26,1,5.23
251,Muros,ES,2022-01-30 19:41:22,42.7762,-9.0603,54.23,77,0,4.0
252,Hambantota,LK,2022-01-30 19:41:22,6.1241,81.1185,76.68,88,7,12.3
253,Kanniyakumari,IN,2022-01-30 19:41:23,8.0833,77.5667,78.26,84,0,15.01
254,Chitipa,MW,2022-01-30 19:41:23,-9.7024,33.2697,62.04,97,100,2.04
255,Sanica,BA,2022-01-30 19:41:23,44.6142,16.6411,34.54,83,2,4.68
256,Port-Gentil,GA,2022-01-30 19:41:24,-0.7193,8.7815,81.27,79,100,8.75
257,Hualmay,PE,2022-01-30 19:41:24,-11.0964,-77.6139,74.12,73,100,11.05
258,Puerto Cabello,VE,2022-01-30 19:41:24,10.4731,-68.0125,75.43,78,17,5.03
259,Saraland,US,2022-01-30 19:41:25,30.8207,-88.0706,65.55,42,0,8.99
260,Road Town,VG,2022-01-30 19:41:25,18.4167,-64.6167,82.49,65,20,9.22
261,Turayf,SA,2022-01-30 19:41:25,31.6725,38.6637,44.85,53,0,16.11
262,Kruisfontein,ZA,2022-01-30 19:40:32,-34.0033,24.7314,72.88,91,95,8.37
263,Kazerun,IR,2022-01-30 19:41:26,29.6195,51.6541,51.66,53,96,1.97
264,Zaykovo,RU,2022-01-30 19:41:26,57.5613,62.7568,7.07,97,100,1.61
265,Lockport,US,2022-01-30 19:41:26,41.5895,-88.0578,32.04,71,0,7.0
266,Dole,FR,2022-01-30 19:41:27,47.0833,5.5,40.91,100,100,2.3
267,Hobyo,SO,2022-01-30 19:37:45,5.3505,48.5268,76.87,77,97,17.34
268,Yadrin,RU,2022-01-30 19:41:27,55.9405,46.2062,21.2,96,100,4.79
269,Ancud,CL,2022-01-30 19:38:40,-41.8697,-73.8203,62.13,55,42,12.41
270,Walvis Bay,NA,2022-01-30 19:41:27,-22.9575,14.5053,67.15,94,100,8.05
271,Icod De Los Vinos,ES,2022-01-30 19:41:28,28.3724,-16.7119,64.15,82,7,2.26
272,Mount Darwin,ZW,2022-01-30 19:41:28,-16.7725,31.5838,63.99,89,1,2.08
273,Madaoua,NE,2022-01-30 19:40:01,14.073,5.96,71.02,11,0,15.52
274,Felanitx,ES,2022-01-30 19:41:28,39.4696,3.1483,52.45,80,0,9.28
275,Andenes,NO,2022-01-30 19:41:29,69.3143,16.1194,28.38,86,75,13.8
276,Otavi,NA,2022-01-30 19:41:29,-19.65,17.3333,67.69,88,100,8.01
277,Mezen,RU,2022-01-30 19:41:29,65.8522,44.24,8.78,96,100,5.82
278,Lulea,SE,2022-01-30 19:41:30,65.5842,22.1547,1.47,92,0,6.91
279,Rio De Janeiro,BR,2022-01-30 19:38:18,-22.9028,-43.2075,80.55,82,75,14.97
280,Cap-Haitien,HT,2022-01-30 19:42:30,19.7578,-72.2042,75.96,77,19,11.3
281,Rock Sound,BS,2022-01-30 19:42:30,24.9,-76.2,65.35,64,96,12.88
282,San Ignacio,BZ,2022-01-30 19:42:31,17.1561,-89.0714,73.54,100,75,4.61
283,Mecca,SA,2022-01-30 19:42:31,21.4267,39.8261,68.85,58,98,5.23
284,Birao,CF,2022-01-30 19:42:32,10.2849,22.7882,71.26,17,72,6.13
285,Parfenyevo,RU,2022-01-30 19:42:32,58.484,43.4088,11.8,97,98,6.04
286,Berlevag,NO,2022-01-30 19:42:32,70.8578,29.0864,30.15,93,75,13.8
287,Brikama,GM,2022-01-30 19:42:33,13.2714,-16.6494,78.84,57,100,6.91
288,Gamba,GA,2022-01-30 19:42:33,-2.65,10.0,78.01,84,100,3.51
289,Pangody,RU,2022-01-30 19:42:33,65.85,74.4859,-9.94,100,89,6.55
290,Moramanga,MG,2022-01-30 19:42:34,-18.9333,48.2,66.06,94,100,3.31
291,Tahta,EG,2022-01-30 19:42:34,26.7693,31.5021,55.72,41,25,6.08
292,Holzwickede,DE,2022-01-30 19:42:34,51.5,7.6333,40.48,75,20,10.36
293,Yantzaza,EC,2022-01-30 19:38:32,-3.8278,-78.7594,84.9,52,100,1.43
